0.4 0.9; -53.19160263 96.19160263 -115.0 -45.0; 0.29911325 0.14087302 0.12411873 0.15549621
0.4 0.9; -53.13430685 96.13430685 -114.94270422 -44.94270422; 0.29811325 0.14187302 0.12511873 0.15449621
0.4 0.9; -53.07701107 96.07701107 -114.88540844 -44.88540844; 0.29711325 0.14287302 0.12611873 0.15349621
0.4 0.9; -53.01971529 96.01971529 -114.82811266 -44.82811266; 0.29611325 0.14387302 0.12711873 0.15249621
0.4 0.9; -52.96241951 95.96241951 -114.77081688 -44.77081688; 0.29511325 0.14487302 0.12811873 0.15149621
0.4 0.9; -52.90512373 95.90512373 -114.7135211 -44.7135211; 0.29411325 0.14587302 0.12911873 0.15049621
0.4 0.9; -52.84782795 95.84782795 -114.65622532 -44.65622532; 0.29311325 0.14687302 0.13011873 0.14949621
0.4 0.9; -52.79053217 95.79053217 -114.59892954 -44.59892954; 0.29211325 0.14787302 0.13111873 0.14849621
0.4 0.9; -52.73323639 95.73323639 -114.54163376 -44.54163376; 0.29111325 0.14825537 0.13211873 0.14749621
0.4 0.9; -52.67594061 95.67594061 -114.48433798 -44.48433798; 0.29011325 0.14825537 0.13311873 0.14649621
0.4 0.9; -52.61864483 95.61864483 -114.4270422 -44.4270422; 0.28911325 0.14825537 0.13411873 0.14549621
0.4 0.9; -52.56134905 95.56134905 -114.36974643 -44.36974643; 0.28811325 0.14825537 0.13511873 0.14449621
0.4 0.9; -52.50405327 95.50405327 -114.31245065 -44.31245065; 0.28711325 0.14825537 0.13611873 0.14349621
0.4 0.9; -52.44675749 95.44675749 -114.25515487 -44.25515487; 0.28611325 0.14825537 0.13711873 0.14249621
0.4 0.9; -52.38946171 95.38946171 -114.19785909 -44.19785909; 0.28511325 0.14825537 0.13811873 0.14149621
0.4 0.9; -52.33216593 95.33216593 -114.14056331 -44.14056331; 0.28411325 0.14825537 0.13911873 0.14049621
0.4 0.9; -52.27487015 95.27487015 -114.08326753 -44.08326753; 0.28311325 0.14825537 0.14011873 0.13949621
0.4 0.9; -52.21757437 95.21757437 -114.02597175 -44.02597175; 0.28211325 0.14825537 0.14111873 0.13849621
0.4 0.9; -52.16027859 95.16027859 -113.96867597 -43.96867597; 0.28111325 0.14825537 0.14211873 0.13749621
0.4 0.9; -52.10298281 95.10298281 -113.91138019 -43.91138019; 0.28011325 0.14825537 0.14311873 0.13649621
0.4 0.9; -52.04568703 95.04568703 -113.85408441 -43.85408441; 0.27911325 0.14825537 0.14411873 0.13549621
0.4 0.9; -51.98839126 94.98839126 -113.79678863 -43.79678863; 0.27811325 0.14825537 0.14511873 0.13449621
0.4 0.9; -51.93109548 94.93109548 -113.73949285 -43.73949285; 0.27711325 0.14825537 0.14611873 0.13349621
0.4 0.9; -51.8737997 94.8737997 -113.68219707 -43.68219707; 0.27611325 0.14825537 0.14711873 0.13249621
0.4 0.9; -51.81650392 94.81650392 -113.62490129 -43.62490129; 0.27511325 0.14825537 0.14811873 0.13149621
0.4 0.9; -51.75920814 94.75920814 -113.56760551 -43.56760551; 0.27411325 0.14825537 0.14911873 0.13049621
0.4 0.9; -51.70191236 94.70191236 -113.51030973 -43.51030973; 0.27311325 0.14825537 0.15011873 0.12949621
0.4 0.9; -51.64461658 94.64461658 -113.45301395 -43.45301395; 0.27211325 0.14825537 0.15111873 0.12849621
0.4 0.9; -51.5873208 94.5873208 -113.39571817 -43.39571817; 0.27111325 0.14825537 0.15211873 0.12749621
0.4 0.9; -51.53002502 94.53002502 -113.33842239 -43.33842239; 0.27011325 0.14825537 0.15311873 0.12649621
0.4 0.9; -51.47272924 94.47272924 -113.28112661 -43.28112661; 0.26911325 0.14825537 0.15411873 0.12549621
0.4 0.9; -51.41543346 94.41543346 -113.22383084 -43.22383084; 0.26811325 0.14825537 0.15511873 0.12449621
0.4 0.9; -51.35813768 94.35813768 -113.16653506 -43.16653506; 0.26711325 0.14825537 0.15611873 0.12349621
